"data","denominazione_regione","totale_casi","terapia_intensiva","ricoverati_con_sintomi","totale_casi_lag","incremento","PL_area_non_critica","PL_terapia_intensiva","popolazione","nuovi_vaccinati","vaccinati","incidenza","saturazione_ti","saturazione_area_non_critica","casi_soglia_50","casi_soglia_150","casi_soglia_250","vaccinati_suscettibili","suscettibili","casi_soglia_50_suscettibili","casi_soglia_150_suscettibili","casi_soglia_250_suscettibili","soglia_50_effettiva","soglia_150_effettiva","soglia_250_effettiva","moltiplicatore_vaccini","soglia_50_equivalente","soglia_150_equivalente","soglia_250_equivalente","indicatore_stress"
2021-09-01,"Abruzzo",79165,6,87,78544,621,1324,185,1285256,3996,857118,48.32,0.03,0.07,642.63,1927.88,3213.14,42856,470994,235.5,706.49,1177.48,18,55,92,2.73,136,409,682,0.36
2021-09-01,"Basilicata",29018,2,44,28599,419,342,88,547579,1768,340316,76.52,0.02,0.13,273.79,821.37,1368.95,17016,224279,112.14,336.42,560.7,20,61,102,2.44,122,366,610,0.63
2021-09-01,"Calabria",78048,16,162,76132,1916,821,151,1877728,3726,1118966,102.04,0.11,0.2,938.86,2816.59,4694.32,55948,814710,407.36,1222.07,2036.78,22,65,108,2.3,115,346,576,0.89
2021-09-01,"Campania",446268,22,373,442853,3415,3832,569,5679759,13591,3594538,60.13,0.04,0.1,2839.88,8519.64,14199.4,179727,2264948,1132.47,3397.42,5662.37,20,60,100,2.51,125,376,627,0.48
2021-09-01,"Emilia-Romagna",412269,51,387,408320,3949,6538,760,4445549,9860,2832695,88.83,0.07,0.06,2222.77,6668.32,11113.87,141635,1754489,877.24,2631.73,4386.22,20,59,99,2.53,127,380,633,0.7
2021-09-01,"Friuli Venezia Giulia",110944,12,53,110231,713,1277,175,1198753,3355,761783,59.48,0.07,0.04,599.38,1798.13,2996.88,38089,475059,237.53,712.59,1187.65,20,59,99,2.52,126,379,631,0.47
2021-09-01,"Lazio",375003,71,448,372124,2879,6421,943,5720796,15116,3970797,50.33,0.08,0.07,2860.4,8581.19,14301.99,198540,1948539,974.27,2922.81,4871.35,17,51,85,2.94,147,440,734,0.34
2021-09-01,"Liguria",109942,9,75,108999,943,1670,214,1509805,4036,975172,62.46,0.04,0.04,754.9,2264.71,3774.51,48759,583392,291.7,875.09,1458.48,19,58,97,2.59,129,388,647,0.48
2021-09-01,"Lombardia",870382,46,359,866485,3897,6369,1416,9966992,8679,6761622,39.1,0.03,0.06,4983.5,14950.49,24917.48,338081,3543451,1771.73,5315.18,8858.63,18,53,89,2.81,141,422,703,0.28
2021-09-01,"Marche",110686,19,68,109494,1192,951,209,1501406,3690,959078,79.39,0.09,0.07,750.7,2252.11,3753.52,47954,590282,295.14,885.42,1475.71,20,59,98,2.54,127,382,636,0.63
2021-09-01,"Molise",14276,0,9,14160,116,176,39,296547,1003,202684,39.12,0,0.05,148.27,444.82,741.37,10134,103997,52,156,259.99,18,53,88,2.85,143,428,713,0.27
2021-09-01,"P.A. Bolzano",75130,4,23,74767,363,391,100,533715,169,304450,68.01,0.04,0.06,266.86,800.57,1334.29,15223,244488,122.24,366.73,611.22,23,69,115,2.18,109,327,546,0.62
2021-09-01,"P.A. Trento",47521,0,20,47278,243,517,60,544745,2513,345458,44.61,0,0.04,272.37,817.12,1361.86,17273,216560,108.28,324.84,541.4,20,60,99,2.52,126,377,629,0.35
2021-09-01,"Piemonte",372766,17,163,371162,1604,5824,628,4273210,10700,2659408,37.54,0.03,0.03,2136.6,6409.82,10683.03,132970,1746772,873.39,2620.16,4366.93,20,61,102,2.45,122,367,612,0.31
2021-09-01,"Puglia",263852,20,234,262141,1711,2799,462,3926931,9542,2637694,43.57,0.04,0.08,1963.47,5890.4,9817.33,131885,1421122,710.56,2131.68,3552.81,18,54,90,2.76,138,414,691,0.32
2021-09-01,"Sardegna",72373,24,230,70340,2033,1602,216,1598225,4580,995180,127.2,0.11,0.14,799.11,2397.34,3995.56,49759,652804,326.4,979.21,1632.01,20,61,102,2.45,122,367,612,1.04
2021-09-01,"Sicilia",277705,114,836,268573,9132,2918,644,4840876,11307,2768918,188.64,0.18,0.29,2420.44,7261.31,12102.19,138446,2210404,1105.2,3315.61,5526.01,23,68,114,2.19,110,329,548,1.71
2021-09-01,"Toscana",271803,51,415,267976,3827,5033,570,3668333,NA,NA,104.33,0.09,0.08,1834.17,5502.5,9170.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-01,"Umbria",61820,6,45,61110,710,671,97,865013,2872,563662,82.08,0.06,0.07,432.51,1297.52,2162.53,28183,329534,164.77,494.3,823.84,19,57,95,2.62,131,394,656,0.63
2021-09-01,"Valle d'Aosta",12022,0,0,11997,25,67,23,123895,570,75590,20.18,0,0,61.95,185.84,309.74,3780,52085,26.04,78.13,130.21,21,63,105,2.38,119,357,595,0.17
2021-09-01,"Veneto",455494,50,200,451111,4383,6000,1000,4852453,9853,3025393,90.33,0.05,0.03,2426.23,7278.68,12131.13,151270,1978330,989.17,2967.5,4945.82,20,61,102,2.45,123,368,613,0.73
